SYMBOL,SERIES,LAST
CREDITACC,N5,1050
CREST,EQ,159
CRISIL,EQ,3400
CROMPTON,EQ,298.35
CROWN,EQ,38
CSBBANK,EQ,256
CSLFINANCE,EQ,214.95
CTE,EQ,50.15
CUB,EQ,125.65
CUBEXTUB,EQ,32.75
CUMMINSIND,EQ,1587
CUPID,EQ,262.5
CYBERMEDIA,EQ,15.85
CYBERTECH,EQ,115
CYIENT,EQ,1077.95
DAAWAT,EQ,97.7
DABUR,EQ,522.7
DALBHARAT,EQ,1985
DALMIASUG,EQ,348.4
DAMODARIND,EQ,43.45
DANGEE,EQ,15.3
DATAMATICS,EQ,298
DATAPATTNS,EQ,1480
DBCORP,EQ,103.5
DBL,EQ,184.75
DBOL,EQ,151
DBREALTY,EQ,69.55
DBSTOCKBRO,EQ,23.25
DCAL,EQ,131
DCBBANK,EQ,101.9
DCI,EQ,115.15
DCM,EQ,72.8
DCMFINSERV,EQ,4.2
DCMNVL,EQ,160
DCMSHRIRAM,EQ,840
DCMSRIND,EQ,65.25
DCW,EQ,45.3
DCXINDIA,EQ,170.3
DECCANCE,EQ,445
DEEPAKFERT,EQ,592.1
DEEPAKNTR,EQ,1820
DEEPENR,EQ,105.5
DEEPINDS,EQ,140.1
DELHIVERY,EQ,329
DELPHIFX,EQ,321
DELTACORP,EQ,194.1
DELTAMAGNT,EQ,72.95
DEN,EQ,28.3
DENORA,EQ,871.2
DEVIT,EQ,98.25
DEVYANI,EQ,145.6
DGCONTENT,EQ,15.9
DHAMPURSUG,EQ,238.7
DHANBANK,EQ,15.3
DHANI,EQ,40.15
DHANILOANS,NX,990
DHANUKA,EQ,639
DHARMAJ,EQ,161
DHARSUGAR,BZ,9.05
DHRUV,EQ,49
DHUNINV,EQ,610
DIAMONDYD,EQ,747.9
DICIND,EQ,395
DIGISPICE,EQ,18.8
DIGJAMLMTD,BE,98
DIL,EQ,17.55
DISHTV,EQ,13.5
DIVGIITTS,EQ,646
DIVISLAB,EQ,2905.75
DIVOPPBEES,EQ,49.2
DIXON,EQ,2980
DJML,EQ,149.4
DLF,EQ,404.7
DLINKINDIA,EQ,249
DMART,EQ,3447
DMCC,EQ,247.2
DNAMEDIA,EQ,2.65
DODLA,EQ,485.4
DOLATALGO,EQ,47.35
DOLLAR,EQ,370.9
DOLLEX,SM,28.5
DONEAR,EQ,88.35
DPABHUSHAN,EQ,308
DPSCLTD,EQ,10.1
DPWIRES,EQ,373.5
DRCSYSTEMS,EQ,45.95
DREAMFOLKS,EQ,430.75
DREDGECORP,EQ,299.5
DRREDDY,EQ,4770
DRSDILIP,SM,141.35
DSPBANKETF,EQ,40.8
DSPN50ETF,EQ,178.45
DSPNEWETF,EQ,203.19
DSPQ50ETF,EQ,158.08
DSPSILVETF,EQ,73.3
DSSL,EQ,360.05
DTIL,EQ,195
DUCOL,SM,131
DUCON,EQ,6.65
DUGLOBAL,SM,176.25
DVL,EQ,233.15
DWARKESH,EQ,90.25
DYCL,EQ,172
DYNAMATECH,EQ,2875
DYNAMIC,SM,20.3
DYNPRO,EQ,258
E2E,EQ,183.05
EASEMYTRIP,EQ,46.25
EASTSILK,BE,2
EBANK,EQ,4357
EBBETF0423,EQ,1229.26
EBBETF0425,EQ,1116.95
EBBETF0430,EQ,1262.99
EBBETF0431,EQ,1124.99
EBBETF0433,EQ,1023.1
EC5RG,MF,19.5
ECLERX,EQ,1348.65
ECLFINANCE,NG,982.52
ECLFINANCE,NJ,967.1
ECLFINANCE,NK,990
ECLFINANCE,NO,985
ECLFINANCE,NQ,1500
ECLFINANCE,NR,1014.95
ECLFINANCE,NS,990
EDELWEISS,EQ,54
EDUCOMP,BZ,1.45
EHFLNCD,N5,971
EHFLNCD,N6,1023
EICHERMOT,EQ,2959
EIDPARRY,EQ,491.95
EIFFL,EQ,145.3
EIHAHOTELS,EQ,427
EIHOTEL,EQ,166.2
EIMCOELECO,EQ,373.6
EKC,EQ,107.2
ELDEHSG,EQ,597
ELECON,EQ,400.95
ELECTCAST,EQ,34.45
ELECTHERM,EQ,59.95
ELGIEQUIP,EQ,465.85
ELGIRUBCO,EQ,33
ELIN,EQ,135.9
EMAMILTD,EQ,358.8
EMAMIPAP,EQ,116
EMAMIREAL,EQ,64.3
EMBASSY,RR,313.9
EMIL,EQ,71.75
EMKAY,EQ,67
EMKAYTOOLS,SM,295.5
EMMBI,EQ,84
EMUDHRA,EQ,244.75
ENDURANCE,EQ,1284.1
ENERGYDEV,EQ,18.25
ENGINERSIN,EQ,74.25
ENIL,EQ,126.3
EPL,EQ,159
EQUIPPP,BE,27.85
EQUITASBNK,EQ,71.35
ERFLNCDI,N5,908
ERIS,EQ,600.95
EROSMEDIA,EQ,23.9
ESABINDIA,EQ,3455.1
ESCORTS,EQ,1880
ESSARSHPNG,EQ,8.55
ESSENTIA,EQ,6.5
ESTER,EQ,100.4
ETHOSLTD,EQ,1002
EUROBOND,SM,108.85
EVEREADY,EQ,295.2
EVERESTIND,EQ,760.9
EXCEL,EQ,0.45
EXCELINDUS,EQ,898.8
EXIDEIND,EQ,181
EXPLEOSOL,EQ,1320
EXXARO,EQ,117.05
FACT,EQ,231.2
FAIRCHEMOR,EQ,1030.5
FAZE3Q,EQ,324.95
FCL,EQ,245.4
FCONSUMER,EQ,0.7
FCSSOFT,EQ,2.1
FDC,EQ,264
FEDERALBNK,EQ,127.3
FEL,BZ,0.65
FELDVR,BE,4.9
FELIX,SM,137.05
FIBERWEB,EQ,33.9
FIDEL,SM,62
FIEMIND,EQ,1580
FILATEX,EQ,38.3
FINCABLES,EQ,853
FINEORG,EQ,4368
FINOPB,EQ,210.3
FINPIPE,EQ,165.8
FIVESTAR,EQ,540
FLEXITUFF,EQ,33.15
FLFL,BZ,5.65
FLUOROCHEM,EQ,3110
FMGOETZE,EQ,309
FMNL,EQ,4.65
FOCUS,EQ,612.4
FOODSIN,EQ,130
FORCEMOT,EQ,1300.1
FORTIS,EQ,255.7
FOSECOIND,EQ,2308
FRETAIL,BZ,2.5
FROG,SM,186.85
FSC,BZ,13.95
FSL,EQ,113.3
FUSION,EQ,404
GABRIEL,EQ,144.3
GAEL,EQ,249.1
